Chinese,English
好像不需要这个,I don't seem to need this
配置时直接写函数体,Write the function body directly when configuring
而后端不方便调整时,And when the rear end is inconvenient to adjust
需要处理,Need to deal with
销毁的时候要,when destroying
取代,replace
仅查找当前,Find only the current
等学完这些后可能会发现大家都用,"After learning these, you may find that everyone uses"
门源回族自治县,Menyuan Hui Autonomous County
默认可开关,Switchable by default
基本,basic
可以上传一个类似这样的,You can upload a like this
判断是否为颜色值,Determine whether it is a color value
输入类组件事件,input class component event
要想使用,want to use
保存当前所有操作,Save all current operations
避免打包工具依赖,Avoid packaging tool dependencies
进行取值,Take the value
上传类,upload class
清流县,Qingliu County
总数据数,total data
秒后,seconds later
更新按钮名称,update button name
两栏布局,two column layout
幻影双刃,Phantom Twin Blades
预置组件的查询容器元素,Query container element for prebuilt components
例如包括表单项,"For example, include the form item"
需确保当前页面有,Make sure that the current page has
铜仁市,Tongren City
使用除了,use except
请重试,Please try again
缓存一下提升性能,Cache to improve performance
修改自,modified from
执行测试用例,Execute the test case
支持拖拽,Support drag and drop
引入,introduce
图片类名,Image class name
在爱速搭中不用,Not in iSpeed
科尔沁区,Horqin District
城厢区,Chengxiang District
如果是直播流,if live stream
放回结果中的,put back in the result
边栏区,Sidebar
是否展示全屏模式开关,Whether to display the full screen mode switch
给右侧图标上添加类名,Add a class name to the icon on the right
方便后端实现简单的,It is convenient for the backend to implement simple
也可以配置简单的字符串或数字数组,Simple string or numeric arrays can also be configured
大宽度,wide width
选父级的时候是否把子节点的值也包含在内,Whether to include the value of the child node when selecting the parent
则把当前节点转给对应组件渲染,Then transfer the current node to the corresponding component for rendering
初始拿到的数据,Initially obtained data
辅助插件,Auxiliary plugin
